Checksum,Documento
f44ae2285ff81842e09fe80836965da5,2015 Nota suicida Y AUTOPSIA PS.pdf
c8065781416ad71dbc7a531dd80871e8,2016 Cataluña recomedaciones informar sucidio.pdf
9082644e7454d61c55c2c38a9f605883,2016 PROYECTO DE INVESTIGACION SOBRE EL SUICIDIO.pdf
4957051e2d805318dcec1f9a191901c2,2016 Terapia-de-Fortalezas-Personales-basada-en-Psicología-Positiva.pdf
04babd3ab2feefad74bb3af8a9e443d9,2017 Guia práctica sobre la depresión SNS (para pacientes).pdf
58db9ade0608c778350cb5433d311289,2017 PLANPREVENCIONSUICIDIO Boletin de las cortes.pdf
f748256239938e79df65989166c8f4b7,2018 CLM DETECCIÓN RIESGO SUICIDA EN AT PRIMARIA. .pdf
617752abc229485a13aadb511ac555cf,2018 Costa Rica protocolo-prevencion-suicidio educativo.pdf
dd273530447274b5be8fa20a48d09d86,2018 OMS Suicidio MANUAL.pdf
2dc5213e1a64bd649159c161babd3274,2018 TE ARAGON CÓMO PREVENIR EL SUICIDIO DESDE LOS MEDIOS DE COMUNICACIÓN.pdf
6e6f4cc47c3c237c414390294f7ad7d5,2018 TFG-Prevención-Suicidio-Guardia-Civil-Martínez_Jiménez_Óscar.pdf
a6b8a4ef20b9424204f424d3130f7c9a,2018 Valencia Guia Suicidio Medios.pdf
7fd8a981a0f74cecaceb9ea3c27beca3,2018 Valencia+guia+SUICIDIO+USUARIOS+Y+FAMILIARES.pdf
529eeaf844bf237a3a12972678de83e5,2019 Aragon Guia prevencion suicidio.pdf
3684bf4b7c765aa5126629a827d68944,2019 CHILE PrevencionSuicidioAdolescente.pdf
25e9d9bc407a20119fd958e2e7a35307,2019 Chile_Guía-Práctica-en-Salud-Mental-y-Prevención-de-Suicidio-para-estudiantes-de-eduación-superior.pdf
03c273cae63cda44269e9b2f9ee527ff,2019 GALICIA guia_psicologia_juridica_de_las_ffccss_.pdf
fb9f7bf42db2b1a7d73ace7faa2c257d,2019 GUIA AUTOAYUDA MATU SANTAMARIA.pdf
e7ef87281fcc980c9f7c98cb3ad865f6,2019 chile+GUIA-PREVENCION-SUICIDIO-EN-ESTABLECIMIENTOS-EDUCACIONALES-web.pdf
4cb72aa82a623835ab25943dead6a99f,2019 guia-prev-suicidio-asites.pdf
03c273cae63cda44269e9b2f9ee527ff,2019 guia_psicologia_juridica_de_las_ffccss_castelan.pdf
e9acc16c6b2fb94b35d0ddb42b13d763,2020 Aragon ESTRATEGIA DE PREVENCIÓN DEL SUICIDIO.pdf
c94f69a7413a3abc623f4164d9dadcf3,2020 Aragon Guia Suicidio Medios.pdf
a327509bd8ee75e43a8dda3a12023fe1,2020 MINISTERIO DE SANIDAD REVISÓN Guia conducta_suicida__SNS.pdf
c6a0fee0e332e9c5e3cbe28a390774ce,2020 MINISTERIO DE SANIDAD Recomendaciones informar suicidiodefinitiva.pdf
3b820347da235bccc2a51da16f1053db,2020 MINSTERIO SANIDAD DECALOGO CON TITULARES Y PRACTICA_04.pdf
3d5587ae5da7ae9b2a73f06e05577611,2020 Madrid - CAM - Amenazas suicidas del alumnado - marco general de intervención.pdf
bfd1244de52507c7581cb697394b1613,2020 Responsabilidad de los medios en la prevención del suicidio.pdf
a30d007e05d3c966bfcb8ff71a91ebf5,2021 Asociación Internacional para la Prevención  del Suicidio.pdf
9438c7066a3cd02b626777b3c7660af6,2021 Castilla y León .Estrategia de prevención de la conducta suicida en 2021-2025.pdf
7a6fcb34c879f33eba2bd68200c2fe40,2021 Hacia un enfoque contextual-existencial del suicidio recomendaciones para la pr.pdf
f3ef5a4096289b2d882a02ca217bc7fa,2021 Mitos-hacia-el-suicidio-infanto-juvenil.pdf
e87ed09e89e0b2f7b96db73e485c7e2f,2021 OMS GUÍA DE APLICACIÓN PARA LA PREVENCIÓN DEL SUICIDIO EN LOS PAÍSES.pdf
af0ea36f7bcfe5cd96b289a41bd32a52,2021 suicidio y maternidad.pdf
86422b2ef232ec70102d5e24f524143b,2022 C.Madrid La conducta suicida en Centros Educativos .pdf
efd02485c28e91aa1b4dcebec5656947,2022 Entrevista Magdalena Pérez.pdf
aeb7b7a38b1dd1cf109ec3e3dc8f361f,2022 F. ANAR CONDUCTA SUICIDA Y SALUD MENTAL EN LA INFANCIA Y ADOLESCENCIA EN ESPAÑA 2012 - 2022.pdf
d77b8a2737ae2d52c930924047f5e0a8,2022 Los medios de comunicación pueden ayuda...pdf
516e23b9ec5ea415660c19f7823f1a98,2022 Madrid PLAN VIVIR.pdf
d04c7ebf6f005cd9f06c42dc3fc36208,2022 PAPAGENO. GUIA MEDIOS .pdf
22da8503efa684816ac0f670d2945c7b,2022 Pais Vasco Guia  Prev. suicidio adolescentes C. Educativos .pdf
fa875ff04aafc06866803cca52759096,2022 pensamiento episódico futuro para cponductas de riesgo.pdf
985a4f6ca5dc47d0d9312113d510f206,2023 AVILA.pdf
6017d2e3bf5ca2dd468f0a3c70f7d754,2023 Andalucia Programa Prevención Conducta Suicida  v14a.pdf
ba639aac8c841771516eebd428826bd1,ASPECTOS LEGALES SUICIDIO EN ESPAÑ.pdf
0bee34e28cdf22b486e0854372105663,AVALIA-T 2012 -GPC Conducta Suicida  (Anexo 2 El día después del suicidio)-.pdf
42c87cc363db65ac7021670a493b7dda,BVCM017534 GUIA AUTOAYUDA MADRID.pdf
4a23893263303080d3333740992e8ea5,BVCM017859 GUIA PROFESIONALES.pdf
ebc3c9b0bbf38bf6867ffdbb101eb974,Bomberos ASINPEC Guia practica INTERVENCIÓN EN SUICIDIOS.pdf
b0e61afcfb56d7cec1b3dc1f7596d203,CARTA A LA PRENSA.pdf
02502b78d95b0354588851e3086d0af1,CONDUCTA SUICIDA. Material Básico.pdf
fb1b82ae9ac7c662d411010e666482cd,Claves_practicas_para_la_intervencion_en_casos_de_suicidio_1.pdf
fcbc6a6d63b649c4429554cf4b335368,Datos Rioja 2013.pdf
4265241545a0185179d3c572017ebc34,Decálogo cartel3.0_final.pdf
4a066840222bc7e5c3345fe7c10c9dec,Duelo Fisterra.pdf
b1c75e3d1820040ba9b5fb2b1eb349f7,España -Suicidios 2013-.pdf
ac1f64091105c83ed9ef41a5f98eb65b,Esquizofrenia y suicidio.pdf
0456fa1cad80f52b13631599e0344aed,Estrategia de prevención del suicidio en Euskadi.pdf
3ede2dd4caeab93f75d5e0978184c5f9,FSME Guia MMCC.pdf
8492599bd5fdf93323f5fab925fa64ce,Factores de riesgo protectores y precipitantes del riesgo suicida.pdf
289eb6da7b1f13558839ccbec7d89326,GUÍA+SUICIDIO+ÁMBITO+ESCOLAR.pdf
4b389930d631baab114cac2ad09c61fa,Guia para atender a Medios.pdf
0b40f5677aa17aeda77b721bde596dcb,Guia para sobrevivir a la perdida por suicidio-Fundacion Americana para la Prevencion del Suicidio.pdf
09ed02805ab4353e9723a901f4349b80,Guía-suicidio-GIPEC-COPPA.pdf
f47c20e8c9a8016e9a7a21b82eebf7ef,Guía_familiares_en_duelo_suicidio_comunida_Madrid.pdf
7eb352a0ec1e20bed9948a07653e557f,Guía_para_supervive_entes_de_un_suicidio.pdf
9925e0ca5245675dcb06922352f1679d,I PLAN DE ACCION PARA LA PREVENCION Y ABORDAJE DE LAS CONDUCTAS SUICIDAS EN EXTREMADURA.pdf
923c25af5841d7404423f7aac1a3e25e,Informacion_Mitos_Suicidio_v2.pdf
ce55aab9c8b9c0f9dd167900767df8ed,Intervención_psicológica_en_crisis_suicida.pdf
03768ed7583c8a5a6a1b6642bf6aa609,LA_RESISTENCIA_HUMANA_ANTE_LOS_TRAUMAS_Y_EL_DUELO.pdf
65e04ff3ab910f2c9dcc5fc248695b9e,LINEAS ESTRATÉGICAS PREVENCIÓN DEL SUICIDIO Galicia.pdf
2cd8cea742698238c10352492d754c21,La pérdida inesperada (extracto).pdf
12c9832b2404ba045968878a9f3fe1aa,LibroBlancoDepresionySuicidio2020.pdf
789573a1d4de5b5fc04046f72d6feb25,Madrid+Guia+Docente+sucidio.pdf
017f33bbe1a2acfa7cd525151e83bfde,Manifiesto II Jornada Prevención Suicidio.pdf
78ec1a3780ed75275b9cc74b376c9b10,Ministerio de Sanidad 2020. Guía sobre suicidio para MMCC..pdf
9df87a23b1b52bdb4db2b8f56f7bcdde,"Neimeyer,Aprender de la Perdida,el duelo.pdf"
848bb92fa8af9abf1861b8b12870b3eb,Nomenclatura_sobre_la_conducta_suicida_curso_La_Rioja_2019.pdf
0c3ddfae447ceb38a0d0218a3e5646ab,OMS Recomendacione_medios_de_Comunicacion_prevencion_suicidio.pdf
5554a66b716a75b9884e6d9880d8cd4d,Observatorio Baleares 2016.pdf
6a439d2a4210dce121618b3bd90f9a57,Observatorio La Rioja 2016.pdf
6b40af383a3960f46b0064431ad27038,Observatorio Navarra 2016.pdf
ed06ec01cf103bea80985121279be44a,Observatorio País Vasco 2016.pdf
f7cb65ef213f9a19503ba64711af021e,Observatorio del Suicidio -Estadisticas 2015-.pdf
7b30ddffe4a0af21718ed5cc05f87c50,Observatorio del Suicidio -Estadisticas 2016-.pdf
5412da069ad92c92311481b12f405aab,Observatorio del Suicidio en Andalucia 2019.pdf
88086a36c3f670d72d6bccb60b64b607,Observatorio del Suicidio en España -Estadisticas 2017_20 pag.pdf
682d1776511a84b19731134c444a9340,Observatorio del Suicidio en España 2018.pdf
6c1d9eec7d36ce503c98614914b966ce,Observatorio del Suicidio en España-2019ok.pdf
edca8cc2855877bfb16c901567a4f4f4,Observatorio del Suicidio en España-2020_.pdf
ce2288abd491d4b6adebcc82bd1bc7f6,PLAN_PREVENCION_CONDUCTA_SUICIDA_Estrategias.pdf
e5fc14bebcf26fb769c9570abdb9be2d,PROCESO DE PREVENCION Y ATENCION DE LA CONDUCTA SUICIDA Castilla Leon.pdf
b1b96eabf056dc84d92036c66607d6e3,PROTOCOLO SUICIDIO ASTURIAS.pdf
c3dde1508258118900562878447cd158,Plan prevención de suicidio Valencia.pdf
c2ea25472d368877848c42769be9fe74,Programa Prevencion Conducta Suicida Canarias 2021.pdf
b81288e468ed2c176e323b9a57417aa1,Propuesta para una Estrategia de Prevención del Suicidio en el SNS.pdf
b52fce981be7605c211ff1ac844c6b95,Protocolo de prevención en AP.pdf
761978d87b45c7f6119eb2ad7e039793,Publicación CSM Villaverde 2011 -Suicidio de una persona con esquizofrenia-.pdf
58547dbe1be0de0579b123a4a4bdb469,Recomendaciones_medios_de_comunicacion_CDC.pdf
0277cbcbfa53dcafc3c0ef9759443e54,SNS Guia Practica depresion infantil y adoelscente.pdf
4780759167602532aab6d6edd2f77574,Suicidio Gobierno de Navarra.pdf
5c7a6e8ab2052ebadb74910d3535b956,Suicidios España 2014.pdf
b56efae0e3134f515efc4e89b72f942b,Suicidios_las_muertes_invisibles.pdf
eaec1b62b2e9e324beb51c1a10513886,Tema 11 Escalas de evaluación de la conducta y riesgo suicidas.pdf
aaeaa36cd9a6b942d0629f3b3cd98b80,Tema 12 La entrevista clínica y el diagnóstico de la conducta y riesgo suicidas.pdf
7618729d978945bb0dbe47a95c8b3dd3,Tema 14 Prevención e intervención médica de la conducta suicida.pdf
f8c59eaa13cc10fdfb695f7204d8d4f2,Tema 2 -Suicidios y crisis económica-.pdf
5703fef5ca322d638a8ba5a5402114b2,Tema 5 Suicidio y medios de comunicación.pdf
7304a5ec6a75e91ad4308978863d5216,Tema_Aplicacion_Terapia_Dialectico_Conductual_La_Rioja_2019.pdf
0c6f19c1e9bcf92802b1c8201b066d39,Tema_Metodologia enfermera intervención de la persona con conducta suicida_La_Rioja_2019.pdf
cb6da72c6bb607ab82a835cf869163b6,__Conductasuicidaprotocolointervenicon.pdf
1651b1e75cf5cca0566d4f83893cfa51,__verne.elpais.com_verne_2016_06_07_articulo_1465315526_3.pdf
df26f7551824b750093d537ba1280463,estrategias_para_la_prevencion_del_suicidio Castilla de la Mancha.pdf
84847a5cfac19349c567908efa326c11,huerta_ramirez_raul Tesis suicidio.pdf
a3cbc2eb9e9e58cafe5b4a57202876dc,mini-kid-entrevista-estructurada-ninos-y-adolescentes.pdf
16f799d7c987c28e05465764aa94ac8b,si-piensas-en-suicidarte-lee-esto.pdf
